county,stcofips,risk_score,risk_rating,eal_score,eal_rating,eal_annual_loss_usd,hurricane_score,coastal_flood_score,inland_flood_score,tornado_score,wildfire_score,wind_score,surge_cat4_ft,surge_cat5_ft,sovi_score,sovi_rating,resl_score,resl_rating
Miami-Dade,12086,99.61832061068702,Very High,99.56683168316832,Relatively High,824686737.2615321,99.95975855130784,98.80952380952381,99.56683168316832,97.98449612403101,96.53307888040712,76.09302325581395,12,15,75.85877863,Relatively High,42.907124681933844,Relatively Moderate
Broward,12011,99.45928753180662,Relatively High,99.35024752475248,Relatively High,647973333.4330842,99.75855130784709,97.27891156462584,99.38118811881188,95.62790697674419,96.85114503816794,77.70542635658914,10,13,55.37531807,Relatively Moderate,44.179389312977094,Relatively Moderate
Palm Beach,12099,99.20483460559797,Relatively High,99.07178217821783,Relatively High,518587102.1950527,99.87927565392354,93.5374149659864,98.45297029702971,92.03100775193799,94.81552162849873,90.91472868217055,9,12,59.82824427,Relatively Moderate,24.491094147582697,Relatively Low
Hillsborough,12057,98.82315521628499,Relatively High,98.97896039603961,Relatively High,494579509.60975146,99.35613682092556,94.04761904761905,97.86509900990099,99.65891472868216,95.92875318066157,83.62790697674419,15,18,36.38676845,Relatively Low,33.23791348600509,Relatively Low
Lee,12071,99.04580152671755,Relatively High,98.82425742574257,Relatively High,433307086.1364581,99.9195171026157,96.93877551020408,96.10148514851485,84.55813953488372,96.31043256997455,60.34108527131783,15,18,67.84351145,Relatively High,8.778625954198473,Very Low
Orange,12095,98.44147582697201,Relatively High,98.76237623762376,Relatively High,417684854.232788,98.10865191146881,0.0,98.51485148514851,99.16279069767442,97.42366412213741,99.90697674418605,0,0,31.74300254,Relatively Low,41.25318066157761,Relatively Moderate
Collier,12021,98.91857506361323,Relatively High,98.60767326732673,Relatively High,398236266.9508069,99.63782696177063,95.06802721088435,97.30816831683168,72.27906976744187,95.83333333333334,47.10077519379845,15,18,74.71374046,Relatively High,41.28498727735369,Relatively Moderate
Brevard,12009,98.40966921119593,Relatively High,98.57673267326733,Relatively High,389320976.9607134,99.83903420523139,84.6938775510204,94.83292079207921,95.03875968992249,97.20101781170484,95.53488372093022,8,10,40.83969466,Relatively Moderate,63.358778625954194,Relatively High
Pinellas,12103,98.21882951653944,Relatively High,97.77227722772277,Relatively High,303434178.67542726,98.79275653923541,99.31972789115646,95.79207920792079,98.79069767441861,80.1526717557252,63.007751937984494,16,20,59.92366412,Relatively Moderate,10.90966921119593,Very Low
Sarasota,12115,98.15521628498728,Relatively High,97.18440594059405,Relatively High,273027730.6245239,99.3963782696177,93.36734693877551,94.12128712871286,89.70542635658914,92.43002544529261,82.44961240310079,12,14,67.01653944,Relatively High,9.192111959287532,Very Low
Duval,12031,97.20101781170484,Relatively High,96.99876237623762,Relatively High,263916601.0203762,97.78672032193158,92.3469387755102,97.61757425742574,91.50387596899225,90.61704834605598,82.91472868217055,9,11,39.88549618,Relatively Low,62.086513994910945,Relatively High
Manatee,12081,97.55089058524173,Relatively High,96.72029702970298,Relatively High,254683438.0460498,99.19517102615694,97.95918367346938,92.26485148514851,97.39534883720931,90.235368956743,73.42635658914729,14,16,54.8346056,Relatively Moderate,22.7735368956743,Relatively Low
Polk,12105,96.53307888040712,Relatively High,96.03960396039604,Relatively High,212568295.7490722,98.6317907444668,0.0,93.90470297029702,93.08527131782945,96.9147582697201,99.84496124031008,0,0,49.80916031,Relatively Moderate,27.385496183206108,Relatively Low
Pasco,12101,95.96055979643766,Relatively High,95.66831683168317,Relatively High,199309461.27598763,98.06841046277665,91.83673469387756,95.14232673267327,98.13953488372093,95.45165394402035,76.34108527131784,13,15,39.66284987,Relatively Low,10.432569974554708,Very Low
Volusia,12127,96.2150127226463,Relatively High,95.54455445544554,Relatively High,195696118.9567276,98.43058350100604,87.41496598639455,94.09034653465346,97.76744186046513,96.0559796437659,85.70542635658914,7,9,56.67938931,Relatively Moderate,48.282442748091604,Relatively Moderate
St. Lucie,12111,96.0559796437659,Relatively High,95.51361386138613,Relatively High,193428647.76400346,99.11468812877263,69.04761904761905,88.33539603960396,82.41860465116278,86.67302798982189,88.5891472868217,9,11,51.24045802,Relatively Moderate,49.55470737913486,Relatively Moderate
Escambia,12033,95.10178117048346,Relatively High,95.01856435643565,Relatively Moderate,173708769.51288274,98.95372233400403,80.10204081632652,88.39727722772277,72.96124031007753,83.65139949109415,49.42635658914728,14,16,41.47582697,Relatively Moderate,34.66921119592875,Relatively Low
