lat,lon,eal_score,risk_score,hurricane_score,coastal_flood_score,inland_flood_score,tornado_score,wildfire_score,wind_score,surge
24.56,-82.1609,89.909,91.619,97.63,93.006,52.707,37.222,68.165,41.231,14.325
24.56,-82.1409,89.947,91.633,97.648,93.414,52.183,36.59,67.741,40.771,14.371
24.56,-82.1209,89.983,91.644,97.665,93.809,51.668,35.969,67.325,40.322,14.415
24.56,-81.801,90.231,91.649,97.812,97.914,45.615,28.835,62.55,35.315,14.901
24.56,-81.781,90.232,91.644,97.815,98.031,45.412,28.6,62.394,35.156,14.916
24.56,-81.761,90.233,91.64,97.818,98.133,45.229,28.389,62.255,35.014,14.929
24.56,-81.741,90.233,91.635,97.82,98.223,45.066,28.201,62.131,34.888,14.941
24.56,-81.721,90.233,91.63,97.822,98.301,44.923,28.036,62.022,34.778,14.952
24.56,-81.701,90.232,91.626,97.823,98.368,44.797,27.891,61.927,34.681,14.961
24.58,-82.1409,89.948,91.641,97.645,93.299,52.397,36.822,67.907,40.922,14.356
24.58,-82.1209,89.984,91.652,97.662,93.699,51.874,36.193,67.484,40.467,14.401
24.58,-82.1009,90.017,91.662,97.679,94.086,51.36,35.577,67.071,40.023,14.445
24.58,-81.781,90.234,91.648,97.815,98.01,45.462,28.654,62.431,35.189,14.913
24.58,-81.761,90.235,91.642,97.818,98.116,45.272,28.436,62.287,35.043,14.927
24.58,-81.741,90.235,91.637,97.82,98.208,45.103,28.242,62.158,34.913,14.939
24.58,-81.721,90.235,91.633,97.822,98.289,44.954,28.07,62.045,34.798,14.95
24.58,-81.701,90.234,91.628,97.823,98.358,44.823,27.92,61.946,34.699,14.959
24.58,-81.681,90.233,91.624,97.824,98.416,44.71,27.79,61.861,34.613,14.967
24.58,-81.661,90.232,91.62,97.825,98.466,44.613,27.678,61.788,34.539,14.974
24.58,-81.641,90.23,91.617,97.826,98.506,44.531,27.585,61.726,34.477,14.98
24.6,-81.661,90.233,91.622,97.825,98.456,44.639,27.707,61.806,34.557,14.973
24.6,-81.641,90.231,91.618,97.826,98.498,44.553,27.608,61.742,34.492,14.979
24.6,-81.621,90.23,91.615,97.826,98.533,44.481,27.526,61.688,34.438,14.984
24.6,-81.601,90.228,91.612,97.826,98.561,44.421,27.458,61.644,34.394,14.988
24.6,-81.581,90.227,91.61,97.827,98.583,44.374,27.403,61.609,34.359,14.991
24.62,-81.641,90.233,91.62,97.826,98.486,44.582,27.641,61.763,34.512,14.977
24.62,-81.621,90.231,91.617,97.826,98.523,44.505,27.553,61.706,34.455,14.982
24.62,-81.601,90.229,91.614,97.827,98.553,44.442,27.481,61.659,34.408,14.987
24.62,-81.581,90.228,91.611,97.827,98.577,44.39,27.422,61.621,34.37,14.99
24.62,-81.561,90.227,91.609,97.827,98.595,44.35,27.376,61.591,34.34,14.993
24.62,-81.541,90.226,91.607,97.827,98.609,44.318,27.339,61.567,34.317,14.995
24.62,-81.521,90.225,91.606,97.827,98.619,44.294,27.312,61.55,34.3,14.997
24.64,-81.601,90.231,91.615,97.827,98.542,44.47,27.512,61.679,34.428,14.985
24.64,-81.581,90.229,91.613,97.827,98.568,44.414,27.448,61.638,34.386,14.989
24.64,-81.561,90.228,91.61,97.827,98.588,44.369,27.397,61.605,34.354,14.992
24.64,-81.541,90.227,91.608,97.827,98.603,44.334,27.357,61.579,34.328,14.994
24.64,-81.521,90.226,91.607,97.827,98.615,44.307,27.326,61.559,34.308,14.996
24.64,-81.401,90.223,91.603,97.827,98.638,44.249,27.261,61.517,34.267,15.0
24.64,-81.381,90.223,91.603,97.827,98.638,44.248,27.26,61.516,34.266,15.0
24.64,-81.361,90.223,91.603,97.827,98.638,44.248,27.259,61.516,34.266,15.0
24.64,-81.341,90.223,91.603,97.827,98.638,44.248,27.26,61.516,34.266,15.0
24.66,-81.581,90.231,91.615,97.827,98.555,44.445,27.483,61.66,34.408,14.987
