county,fips,sfha_area,total_area,sfha_pct
Alachua,12001,0.069244,0.234067,29.58
Baker,12003,0.060029,0.143029,41.97
Bay,12005,0.093435,0.215165,43.42
Bradford,12007,0.033724,0.072641,46.43
Brevard,12009,0.156665,0.314217,49.86
Broward,12011,0.05219,0.286427,18.22
Calhoun,12013,,,
Charlotte,12015,,,
Citrus,12017,0.06878,0.159931,43.01
Clay,12019,0.037856,0.155857,24.29
Collier,12021,0.477558,0.502784,94.98
Columbia,12023,0.076155,0.194412,39.17
DeSoto,12027,0.043599,0.150853,28.9
Dixie,12029,0.121734,0.178033,68.38
Duval,12031,0.059102,0.223458,26.45
Escambia,12033,0.0491,0.179057,27.42
Flagler,12035,0.047173,0.123381,38.23
Franklin,12037,0.133437,0.150476,88.68
Gadsden,12039,,,
Gilchrist,12041,0.022647,0.086243,26.26
Glades,12043,0.143876,0.232312,61.93
Gulf,12045,0.101295,0.139872,72.42
Hamilton,12047,0.048475,0.126296,38.38
Hardee,12049,0.038637,0.150983,25.59
Hendry,12051,0.074062,0.263314,28.13
Hernando,12053,0.037127,0.115621,32.11
Highlands,12055,0.123904,0.261384,47.4
Hillsborough,12057,0.092476,0.307315,30.09
Holmes,12059,0.036963,0.119391,30.96
Indian River,12061,0.08878,0.128456,69.11
Jackson,12063,0.046778,0.232905,20.08
Jefferson,12065,0.071323,0.149123,47.83
Lafayette,12067,0.089843,0.132521,67.8
Lake,12069,0.125656,0.276517,45.44
Lee,12071,0.088281,0.250356,35.26
Leon,12073,0.056969,0.170866,33.34
Levy,12075,0.147047,0.289488,50.8
Liberty,12077,0.116204,0.204694,56.77
Madison,12079,,,
Manatee,12081,0.052397,0.19025,27.54
Marion,12083,,,
Martin,12085,0.015432,0.163424,9.44
Miami-Dade,12086,0.260109,0.530934,48.99
Monroe,12087,0.404136,0.577885,69.93
Nassau,12089,0.06318,0.163785,38.57
Okaloosa,12091,0.036236,0.243778,14.86
Okeechobee,12093,,,
Orange,12095,0.078583,0.239417,32.82
Osceola,12097,0.182655,0.358364,50.97
Palm Beach,12099,0.191347,0.528734,36.19
Pasco,12101,0.078302,0.186322,42.03
Pinellas,12103,0.038959,0.112264,34.7
Polk,12105,0.198556,0.477798,41.56
Putnam,12107,0.083222,0.199449,41.73
St. Johns,12109,0.058152,0.164375,35.38
St. Lucie,12111,,,
Santa Rosa,12113,0.050334,0.279506,18.01
Sarasota,12115,,,
Seminole,12117,,,
Sumter,12119,,,
Suwannee,12121,,,
Taylor,12123,,,
Union,12125,,,
Volusia,12127,,,
Wakulla,12129,0.099331,0.159354,62.33
Walton,12131,0.073551,0.281044,26.17
Washington,12133,0.047161,0.15009,31.42
