storm_id,storm_name,year,datetime,status,latitude,longitude,wind_knots
AL021950,BAKER,1950,1950-08-18T12:00:00,TD,12.0,-54.0,30
AL021950,BAKER,1950,1950-08-18T18:00:00,TD,12.5,-54.2,30
AL021950,BAKER,1950,1950-08-19T00:00:00,TD,13.0,-54.4,30
AL021950,BAKER,1950,1950-08-19T06:00:00,TD,13.5,-54.7,30
AL021950,BAKER,1950,1950-08-19T12:00:00,TS,14.0,-55.0,35
AL021950,BAKER,1950,1950-08-19T18:00:00,TS,14.5,-55.4,40
AL021950,BAKER,1950,1950-08-20T00:00:00,TS,15.0,-55.9,45
AL021950,BAKER,1950,1950-08-20T06:00:00,TS,15.5,-56.4,50
AL021950,BAKER,1950,1950-08-20T12:00:00,TS,16.0,-57.0,55
AL021950,BAKER,1950,1950-08-20T18:00:00,TS,16.3,-57.9,60
AL021950,BAKER,1950,1950-08-21T00:00:00,HU,16.6,-58.8,65
AL021950,BAKER,1950,1950-08-21T06:00:00,HU,16.8,-59.8,70
AL021950,BAKER,1950,1950-08-21T12:00:00,HU,16.9,-60.6,70
AL021950,BAKER,1950,1950-08-21T18:00:00,HU,17.0,-61.0,75
AL021950,BAKER,1950,1950-08-22T00:00:00,HU,17.0,-61.4,85
AL021950,BAKER,1950,1950-08-22T06:00:00,HU,16.9,-61.8,75
AL021950,BAKER,1950,1950-08-22T12:00:00,TS,16.8,-62.2,60
AL021950,BAKER,1950,1950-08-22T18:00:00,TS,16.8,-62.9,45
AL021950,BAKER,1950,1950-08-23T00:00:00,TS,17.0,-64.0,45
AL021950,BAKER,1950,1950-08-23T06:00:00,TS,17.4,-65.1,40
AL021950,BAKER,1950,1950-08-23T12:00:00,TS,17.8,-66.2,35
AL021950,BAKER,1950,1950-08-23T18:00:00,TD,18.2,-67.3,30
AL021950,BAKER,1950,1950-08-24T00:00:00,TD,18.6,-68.6,30
AL021950,BAKER,1950,1950-08-24T06:00:00,TD,19.4,-70.0,25
AL021950,BAKER,1950,1950-08-24T12:00:00,TD,20.3,-71.7,30
AL021950,BAKER,1950,1950-08-24T18:00:00,TS,20.9,-73.4,40
AL021950,BAKER,1950,1950-08-25T00:00:00,TS,21.3,-74.8,45
AL021950,BAKER,1950,1950-08-25T06:00:00,TS,21.6,-76.6,45
AL021950,BAKER,1950,1950-08-25T12:00:00,TS,21.7,-78.1,35
AL021950,BAKER,1950,1950-08-25T18:00:00,TD,21.7,-79.1,30
AL021950,BAKER,1950,1950-08-26T00:00:00,TS,21.7,-80.1,35
AL021950,BAKER,1950,1950-08-26T06:00:00,TS,21.7,-81.2,45
AL021950,BAKER,1950,1950-08-26T12:00:00,TS,21.8,-81.9,45
AL021950,BAKER,1950,1950-08-26T18:00:00,TS,21.9,-82.5,50
AL021950,BAKER,1950,1950-08-27T00:00:00,TS,22.0,-83.2,50
AL021950,BAKER,1950,1950-08-27T06:00:00,TS,22.2,-84.0,45
AL021950,BAKER,1950,1950-08-27T12:00:00,TS,22.3,-84.6,50
AL021950,BAKER,1950,1950-08-27T18:00:00,TS,22.4,-85.3,55
AL021950,BAKER,1950,1950-08-28T00:00:00,TS,22.6,-86.1,55
AL021950,BAKER,1950,1950-08-28T06:00:00,TS,22.8,-86.8,55
AL021950,BAKER,1950,1950-08-28T12:00:00,TS,23.0,-87.2,55
AL021950,BAKER,1950,1950-08-28T18:00:00,TS,23.2,-87.5,55
AL021950,BAKER,1950,1950-08-29T00:00:00,HU,23.5,-87.7,65
AL021950,BAKER,1950,1950-08-29T06:00:00,HU,23.7,-88.0,75
AL021950,BAKER,1950,1950-08-29T12:00:00,HU,23.9,-88.3,80
AL021950,BAKER,1950,1950-08-29T18:00:00,HU,24.1,-88.4,85
AL021950,BAKER,1950,1950-08-30T00:00:00,HU,24.7,-88.6,90
AL021950,BAKER,1950,1950-08-30T06:00:00,HU,25.7,-88.8,90
AL021950,BAKER,1950,1950-08-30T12:00:00,HU,27.0,-89.0,90
AL021950,BAKER,1950,1950-08-30T18:00:00,HU,28.2,-88.7,85
AL021950,BAKER,1950,1950-08-31T00:00:00,HU,29.4,-88.2,75
AL021950,BAKER,1950,1950-08-31T03:00:00,HU,30.2,-88.0,75
AL021950,BAKER,1950,1950-08-31T04:00:00,HU,30.7,-87.9,75
AL021950,BAKER,1950,1950-08-31T06:00:00,TS,31.1,-87.9,60
AL021950,BAKER,1950,1950-08-31T12:00:00,TS,33.4,-88.2,40
AL021950,BAKER,1950,1950-08-31T18:00:00,TS,34.8,-88.7,35
AL021950,BAKER,1950,1950-09-01T00:00:00,TD,36.0,-89.0,25
AL021950,BAKER,1950,1950-09-01T06:00:00,TD,36.7,-89.0,20
AL021950,BAKER,1950,1950-09-01T12:00:00,TD,36.7,-89.2,15
AL021950,BAKER,1950,1950-09-01T18:00:00,TD,37.0,-89.7,15
AL051950,EASY,1950,1950-09-01T06:00:00,TS,19.7,-83.2,40
AL051950,EASY,1950,1950-09-01T12:00:00,TS,19.9,-83.2,45
AL051950,EASY,1950,1950-09-01T18:00:00,TS,20.1,-83.2,50
AL051950,EASY,1950,1950-09-02T00:00:00,TS,20.3,-83.2,50
AL051950,EASY,1950,1950-09-02T06:00:00,TS,20.5,-83.3,55
AL051950,EASY,1950,1950-09-02T12:00:00,TS,20.7,-83.3,55
AL051950,EASY,1950,1950-09-02T18:00:00,TS,20.9,-83.2,55
AL051950,EASY,1950,1950-09-03T00:00:00,HU,21.4,-82.7,70
AL051950,EASY,1950,1950-09-03T01:00:00,HU,21.5,-82.6,70
AL051950,EASY,1950,1950-09-03T06:00:00,HU,22.4,-82.4,80
AL051950,EASY,1950,1950-09-03T07:00:00,HU,22.7,-82.3,80
AL051950,EASY,1950,1950-09-03T12:00:00,HU,23.8,-82.3,75
AL051950,EASY,1950,1950-09-03T18:00:00,HU,24.9,-82.6,75
AL051950,EASY,1950,1950-09-04T00:00:00,HU,26.2,-82.8,80
AL051950,EASY,1950,1950-09-04T06:00:00,HU,27.1,-83.3,85
AL051950,EASY,1950,1950-09-04T12:00:00,HU,27.7,-83.5,85
AL051950,EASY,1950,1950-09-04T18:00:00,HU,28.0,-83.8,85
AL051950,EASY,1950,1950-09-05T00:00:00,HU,28.1,-83.7,95
AL051950,EASY,1950,1950-09-05T06:00:00,HU,28.5,-83.3,105
AL051950,EASY,1950,1950-09-05T12:00:00,HU,28.8,-83.0,105
AL051950,EASY,1950,1950-09-05T17:00:00,HU,29.1,-82.8,105
AL051950,EASY,1950,1950-09-05T18:00:00,HU,29.1,-82.8,105
AL051950,EASY,1950,1950-09-06T00:00:00,HU,28.7,-82.8,95
AL051950,EASY,1950,1950-09-06T04:00:00,HU,28.5,-82.7,90
AL051950,EASY,1950,1950-09-06T06:00:00,HU,28.4,-82.6,75
AL051950,EASY,1950,1950-09-06T12:00:00,TS,28.2,-82.1,60
AL051950,EASY,1950,1950-09-06T18:00:00,TS,28.6,-81.7,40
AL051950,EASY,1950,1950-09-07T00:00:00,TS,29.3,-81.6,40
AL051950,EASY,1950,1950-09-07T06:00:00,TS,30.2,-81.9,35
AL051950,EASY,1950,1950-09-07T12:00:00,TD,31.2,-83.0,30
AL051950,EASY,1950,1950-09-07T18:00:00,TD,32.0,-84.8,25
AL051950,EASY,1950,1950-09-08T00:00:00,TD,33.1,-85.9,25
AL051950,EASY,1950,1950-09-08T06:00:00,TD,33.9,-87.0,20
AL051950,EASY,1950,1950-09-08T12:00:00,TD,35.2,-88.3,20
AL051950,EASY,1950,1950-09-08T18:00:00,TD,35.2,-88.5,20
AL051950,EASY,1950,1950-09-09T00:00:00,TD,35.3,-89.3,20
AL051950,EASY,1950,1950-09-09T06:00:00,TD,35.0,-89.8,20
AL051950,EASY,1950,1950-09-09T12:00:00,TD,35.6,-89.9,20
AL051950,EASY,1950,1950-09-09T18:00:00,TD,35.9,-90.2,20
AL111950,KING,1950,1950-10-13T06:00:00,TD,16.0,-84.2,25
AL111950,KING,1950,1950-10-13T12:00:00,TD,16.0,-83.9,25
AL111950,KING,1950,1950-10-13T18:00:00,TD,16.0,-83.8,25
AL111950,KING,1950,1950-10-14T00:00:00,TD,16.0,-83.7,30
AL111950,KING,1950,1950-10-14T06:00:00,TD,16.1,-83.6,30
AL111950,KING,1950,1950-10-14T12:00:00,TD,16.2,-83.5,30
AL111950,KING,1950,1950-10-14T18:00:00,TS,16.3,-83.3,35
AL111950,KING,1950,1950-10-15T00:00:00,TS,16.6,-82.7,40
AL111950,KING,1950,1950-10-15T06:00:00,TS,16.9,-82.0,45
AL111950,KING,1950,1950-10-15T12:00:00,TS,17.2,-81.0,50
AL111950,KING,1950,1950-10-15T18:00:00,TS,17.7,-80.0,55
