latitude,longitude,county
27.87781,-82.37663,Hillsborough
27.88286,-82.24189,Hillsborough
27.88035,-82.58059,Hillsborough
27.95118,-82.39117,Hillsborough
27.86659,-82.33215,Hillsborough
27.93577,-82.17081,Hillsborough
28.00112,-82.33298,Hillsborough
27.7863,-82.50626,Hillsborough
27.93794,-82.14809,Hillsborough
27.90642,-82.36637,Hillsborough
27.98189,-82.57385,Hillsborough
27.85191,-82.27448,Hillsborough
28.0345,-82.38706,Hillsborough
27.958,-82.31178,Hillsborough
28.02048,-82.52144,Hillsborough
27.98751,-82.58324,Hillsborough
27.49653,-82.44346,Hillsborough
27.75897,-82.21509,Hillsborough
28.0023,-82.53774,Hillsborough
28.03049,-82.50434,Hillsborough
27.88672,-82.39526,Hillsborough
27.91762,-82.22393,Hillsborough
27.99832,-82.29612,Hillsborough
28.00009,-82.27631,Hillsborough
27.80344,-82.46048,Hillsborough
27.82762,-82.2731,Hillsborough
27.86148,-81.99029,Hillsborough
27.77383,-82.51923,Hillsborough
28.01834,-82.13104,Hillsborough
27.97788,-82.22128,Hillsborough
28.11966,-82.36448,Hillsborough
27.68086,-82.43194,Hillsborough
28.04675,-82.57233,Hillsborough
27.90516,-82.311,Hillsborough
27.8514,-82.23856,Hillsborough
27.98944,-81.9925,Hillsborough
27.99548,-82.44385,Hillsborough
27.81348,-82.47806,Hillsborough
28.04665,-82.43729,Hillsborough
27.88918,-82.23461,Hillsborough
27.78859,-82.39522,Hillsborough
27.61644,-82.5167,Hillsborough
27.81257,-82.28597,Hillsborough
28.0838,-82.35284,Hillsborough
27.94025,-82.32413,Hillsborough
28.06705,-82.21242,Hillsborough
27.94215,-82.50569,Hillsborough
28.03912,-82.29132,Hillsborough
28.08895,-82.35461,Hillsborough
28.20078,-82.40527,Hillsborough
28.14533,-82.33227,Hillsborough
27.82049,-82.52378,Hillsborough
27.87674,-82.13081,Hillsborough
28.02572,-82.24391,Hillsborough
27.53412,-82.24051,Hillsborough
27.9856,-82.43469,Hillsborough
27.80338,-82.35036,Hillsborough
28.16563,-82.51249,Hillsborough
27.83412,-82.14029,Hillsborough
27.83129,-82.40609,Hillsborough
27.91506,-82.54116,Hillsborough
27.93387,-82.53628,Hillsborough
28.03632,-82.34951,Hillsborough
28.25165,-82.30675,Hillsborough
28.11032,-82.5507,Hillsborough
27.88119,-82.30024,Hillsborough
28.16884,-82.60886,Hillsborough
28.05256,-82.25893,Hillsborough
28.13617,-82.24029,Hillsborough
27.90802,-82.43033,Hillsborough
27.70778,-82.3199,Hillsborough
27.87048,-82.03888,Hillsborough
27.8059,-82.30066,Hillsborough
27.65837,-82.4109,Hillsborough
27.94022,-82.22311,Hillsborough
28.12301,-82.3568,Hillsborough
27.72794,-82.27949,Hillsborough
27.97962,-82.27428,Hillsborough
27.79216,-82.17546,Hillsborough
27.91354,-82.24223,Hillsborough
28.09621,-82.25617,Hillsborough
27.94412,-82.01847,Hillsborough
27.93753,-82.39558,Hillsborough
27.91724,-82.12165,Hillsborough
27.91828,-82.27002,Hillsborough
28.08414,-82.42898,Hillsborough
27.63411,-82.30389,Hillsborough
27.93538,-82.44363,Hillsborough
28.03415,-82.25643,Hillsborough
27.74677,-82.27019,Hillsborough
27.8698,-82.57839,Hillsborough
27.96975,-82.35696,Hillsborough
27.78523,-82.26947,Hillsborough
27.97517,-82.43894,Hillsborough
27.96165,-82.19368,Hillsborough
27.79025,-82.29134,Hillsborough
27.90042,-82.00103,Hillsborough
27.61321,-82.24293,Hillsborough
27.85284,-82.36543,Hillsborough
28.19284,-82.35132,Hillsborough
28.24511,-82.41809,Hillsborough
27.95398,-82.42559,Hillsborough
27.79363,-82.34038,Hillsborough
27.85648,-82.31882,Hillsborough
27.57583,-82.04162,Hillsborough
27.87428,-82.08159,Hillsborough
27.7449,-82.30495,Hillsborough
28.3874,-82.48394,Hillsborough
27.66972,-82.43416,Hillsborough
27.97276,-82.24323,Hillsborough
28.09872,-82.38958,Hillsborough
27.65325,-82.41699,Hillsborough
28.09099,-82.27829,Hillsborough
27.59863,-82.3554,Hillsborough
28.11532,-82.02251,Hillsborough
27.9865,-82.30237,Hillsborough
27.70901,-82.47986,Hillsborough
27.90723,-82.27251,Hillsborough
27.98935,-82.42364,Hillsborough
27.7226,-82.46978,Hillsborough
27.72183,-82.25091,Hillsborough
27.54391,-82.40132,Hillsborough
