latitude,longitude,ef_scale,year
29.65,-81.22,2,1950
28.58,-81.37,1,1950
28.5,-81.37,2,1950
29.13,-81.35,1,1950
29.73,-84.98,1,1950
30.8,-85.2,0,1950
30.35,-81.75,1,1951
27.75,-81.8,2,1951
27.77,-82.63,1,1951
27.78,-81.53,2,1951
28.12,-82.03,1,1951
27.1,-82.48,2,1951
29.85,-84.68,1,1951
30.18,-82.63,1,1951
27.73,-82.43,2,1951
30.47,-85.25,1,1952
30.5,-84.23,2,1952
30.17,-85.7,2,1952
26.57,-80.12,1,1952
30.17,-85.7,1,1952
28.55,-82.38,0,1952
27.93,-82.82,2,1952
27.77,-82.62,1,1952
27.75,-82.65,1,1952
26.77,-80.22,1,1952
26.5,-81.83,0,1953
30.4,-85.87,2,1953
25.67,-80.45,0,1953
30.3,-81.53,1,1953
30.2,-85.8,2,1953
30.62,-84.28,2,1953
28.57,-82.48,1,1953
27.83,-82.17,2,1953
28.57,-81.75,1,1953
30.37,-85.45,2,1953
27.38,-80.33,1,1953
30.17,-85.7,2,1953
30.38,-87.25,0,1953
27.82,-82.83,1,1953
24.55,-81.77,1,1953
27.82,-82.7,0,1953
28.43,-81.37,1,1953
30.17,-81.7,1,1953
27.43,-80.5,0,1953
25.83,-80.3,0,1953
28.1,-80.7,1,1953
30.9,-87.1,1,1954
30.33,-85.67,2,1954
29.82,-85.25,1,1954
27.88,-81.85,0,1954
25.75,-80.2,0,1954
30.15,-82.95,2,1954
25.92,-80.5,0,1954
26.47,-80.4,0,1954
27.4,-80.37,0,1954
27.75,-82.75,1,1954
27.42,-80.33,3,1954
28.35,-80.68,0,1954
26.02,-80.15,2,1954
26.23,-80.1,1,1955
27.4,-82.63,2,1955
30.75,-85.1,1,1955
28.62,-81.42,1,1955
30.5,-87.25,2,1955
26.05,-80.17,1,1955
26.62,-80.75,0,1955
24.57,-81.62,0,1955
27.2,-80.75,1,1955
26.7,-80.7,0,1955
26.75,-80.05,0,1955
27.13,-82.3,0,1955
25.95,-80.15,0,1956
27.45,-82.53,2,1956
26.0,-80.23,3,1956
30.43,-87.23,3,1956
28.0,-81.92,0,1956
26.7,-80.1,0,1956
27.2,-80.25,0,1956
