latitude,longitude,frp,year
28.7066,-82.09402,12.17,2026
28.03423,-80.96358,19.33,2026
28.03,-80.9422,42.25,2026
28.02915,-80.94811,46.64,2026
28.19424,-82.21663,21.76,2026
27.963,-81.07576,31.77,2026
27.95886,-81.05474,59.33,2026
27.95788,-81.06164,58.25,2026
27.64927,-81.11124,25.88,2026
25.82608,-80.46602,44.17,2026
25.96731,-81.44398,20.76,2026
25.96375,-81.46231,27.34,2026
25.97896,-81.4468,156.28,2026
25.97543,-81.46513,46.06,2026
25.99062,-81.44962,54.8,2026
27.01693,-81.26538,93.46,2026
27.43485,-82.24457,9.59,2026
25.79802,-80.45296,40.88,2026
25.79665,-80.46268,11.1,2026
25.8068,-80.4545,7.46,2026
25.80544,-80.46423,5.82,2026
25.82712,-80.45449,4.77,2026
25.82576,-80.46421,10.02,2026
25.83591,-80.45603,29.81,2026
25.83454,-80.46575,12.72,2026
25.85151,-80.40896,5.07,2026
25.84606,-80.44785,10.16,2026
25.84469,-80.45757,76.93,2026
25.84332,-80.46729,3.83,2026
25.8562,-80.43966,5.27,2026
25.85484,-80.44938,83.25,2026
25.85347,-80.45911,36.17,2026
25.86498,-80.44119,16.58,2026
25.86362,-80.45092,81.47,2026
27.05986,-81.31609,10.54,2026
28.79291,-82.41439,9.8,2026
28.8003,-82.42665,7.01,2026
25.8962,-80.45364,195.31,2026
25.88361,-80.48206,652.44,2026
25.88159,-80.4613,996.67,2026
25.87957,-80.44061,335.6,2026
25.8711,-80.48342,189.59,2026
25.86909,-80.46268,300.99,2026
25.8671,-80.44199,470.35,2026
25.8566,-80.46406,216.78,2026
25.85067,-80.4022,62.89,2026
25.84411,-80.46545,60.87,2026
28.79141,-82.41433,23.56,2026
28.7953,-82.40832,15.46,2026
28.79383,-82.42041,10.95,2026
29.0773,-81.98351,4.45,2026
28.89872,-81.6646,14.17,2026
28.81459,-82.08299,6.19,2026
28.81309,-82.07294,19.51,2026
28.71557,-81.85876,13.66,2026
28.71404,-81.84863,11.95,2026
28.70377,-82.09569,11.22,2026
28.66541,-82.0202,19.72,2026
28.19662,-82.22147,11.72,2026
28.19513,-82.21147,8.43,2026
27.64167,-82.54108,16.56,2026
27.28338,-81.16286,7.54,2026
27.16426,-80.87856,18.11,2026
26.81414,-81.18559,10.49,2026
25.72542,-80.55469,46.65,2026
25.73662,-80.55717,16.74,2026
25.73517,-80.56264,19.95,2026
25.78919,-80.45564,18.4,2026
25.7863,-80.47186,20.22,2026
25.79742,-80.47431,27.55,2026
25.84101,-80.41593,34.36,2026
25.73618,-80.55307,20.96,2026
25.73209,-80.5329,31.45,2026
25.73056,-80.5405,53.94,2026
25.72185,-80.53466,65.53,2026
25.72026,-80.54472,20.81,2026
25.73073,-80.53639,193.06,2026
25.72914,-80.54645,15.74,2026
25.73961,-80.53812,54.09,2026
25.73802,-80.54818,14.59,2026
25.7469,-80.54991,10.87,2026
25.76996,-80.46136,9.53,2026
25.76682,-80.48138,17.75,2026
25.78039,-80.45309,9.95,2026
25.77882,-80.46309,40.93,2026
25.77725,-80.4731,18.39,2026
25.83257,-80.41737,44.41,2026
25.831,-80.42735,50.22,2026
25.84611,-80.38921,200.31,2026
25.85494,-80.39091,55.09,2026
25.85338,-80.40087,17.51,2026
27.1571,-80.362,7.67,2026
28.92507,-81.62527,7.07,2026
27.30687,-80.48325,7.69,2026
27.16365,-80.88081,12.3,2026
26.37494,-81.347,10.56,2026
26.57679,-81.26642,23.0,2026
25.57202,-80.88912,3.86,2026
25.57058,-80.89902,4.19,2026
26.93359,-81.17733,9.11,2026
26.93215,-81.18732,15.83,2026
26.94244,-81.17896,19.15,2026
26.941,-81.18895,13.54,2026
27.29347,-81.50216,6.63,2026
27.29198,-81.51228,87.98,2026
27.29048,-81.52242,9.64,2026
26.98604,-82.2723,9.02,2026
26.98466,-82.28226,16.09,2026
26.98327,-82.29222,226.95,2026
26.98188,-82.30217,109.29,2026
26.99207,-82.29378,13.95,2026
28.3546,-80.91141,25.93,2026
28.35315,-80.92297,60.75,2026
28.364,-80.91293,13.37,2026
28.36255,-80.92449,32.75,2026
28.95706,-82.22771,14.28,2026
28.96742,-82.21881,310.67,2026
28.966,-82.22928,1194.74,2026
28.97494,-82.23086,10.27,2026
28.97577,-82.20587,30.24,2026
28.97363,-82.23284,164.63,2026
30.46109,-83.35717,4.44,2026
30.54316,-84.93157,11.85,2026
30.05376,-81.65728,8.5,2026
30.02326,-83.05064,6.97,2026
29.70409,-82.68309,8.42,2026
29.70267,-82.67307,7.86,2026
29.44384,-81.97318,6.4,2026
29.40978,-82.43741,4.83,2026
28.71532,-81.85434,5.37,2026
28.70433,-81.97646,24.26,2026
28.70284,-81.96644,34.54,2026
28.66784,-82.03475,11.13,2026
28.66635,-82.02474,100.28,2026
28.26668,-82.65545,6.04,2026
28.13483,-81.75871,13.34,2026
28.19452,-82.22141,15.02,2026
28.19305,-82.21146,7.75,2026
27.90002,-80.60288,8.17,2026
28.07781,-81.86287,5.81,2026
27.88338,-80.61757,6.84,2026
27.85685,-81.75682,8.59,2026
27.85863,-81.82925,16.19,2026
27.89912,-82.16155,11.24,2026
27.6495,-81.6095,5.65,2026
27.55817,-81.73811,8.36,2026
27.63025,-82.46383,39.7,2026
27.4759,-81.98763,6.61,2026
27.15606,-80.87349,12.9,2026
27.09289,-82.08342,8.13,2026
26.67122,-80.97703,9.94,2026
26.81474,-82.01981,7.39,2026
29.18406,-82.09112,27.22,2003
29.33636,-82.22885,14.77,2002
29.17145,-82.08463,32.24,2019
29.28274,-81.94181,28.77,2020
29.15347,-82.23902,22.63,2000
29.2556,-82.05413,23.88,2013
29.15379,-81.97173,34.11,2002
29.16669,-82.18369,32.52,2011
28.95037,-82.25808,26.9,2012
28.98867,-81.92806,30.77,2020
28.94673,-82.30266,18.33,2001
29.0787,-82.22403,17.77,2002
29.43196,-82.34497,22.39,2011
29.34532,-81.97202,33.6,2021
29.16498,-81.63956,22.26,2005
29.0122,-82.1918,26.88,2014
28.81508,-81.68659,22.31,2021
29.03303,-82.19852,38.69,2001
29.21604,-82.01442,25.79,2006
29.34025,-81.86089,23.3,2022
29.10613,-81.81864,15.69,2014
29.45344,-81.99846,31.0,2017
28.92047,-82.13236,19.66,2011
29.31356,-81.94048,51.81,2016
28.90801,-82.04769,30.59,2005
29.13058,-82.01074,20.92,2002
29.02848,-81.89949,22.78,2017
29.23731,-82.04246,27.18,2003
29.11707,-82.26312,26.94,2003
29.4662,-82.08851,31.96,2000
29.56231,-82.1652,27.31,2005
29.42136,-82.14529,27.84,2020
29.133,-81.81488,24.88,2005
29.14443,-82.36307,25.02,2016
29.4221,-82.17923,24.6,2011
29.21627,-81.81418,18.88,2009
29.21885,-81.92666,25.41,2015
29.18006,-81.85958,10.3,2017
29.21937,-82.1539,19.26,2008
29.24518,-82.30216,26.35,2006
29.48238,-82.19045,23.92,2012
28.94567,-81.79934,27.69,2014
29.36931,-82.17634,28.03,2000
29.27547,-82.17065,25.33,2007
29.49208,-82.04725,30.44,2001
29.23431,-82.01613,25.93,2007
29.17307,-81.85582,17.12,2018
29.13958,-82.1792,25.59,2015
29.25135,-82.16944,34.1,2013
29.31936,-82.36482,35.41,2001
28.96997,-82.51936,33.79,2010
29.31592,-82.03294,24.8,2006
29.28206,-81.87729,23.01,2007
29.27856,-82.00977,26.03,2017
29.42363,-81.90904,26.83,2002
29.20217,-81.74696,21.93,2005
29.03838,-81.94558,37.96,2005
28.91814,-82.43891,42.02,2008
29.49261,-82.20062,25.63,2017
29.48121,-82.16931,21.12,2006
29.07294,-81.60645,20.31,2010
29.10262,-81.83676,31.26,2016
29.40373,-82.16748,35.81,2005
29.28498,-81.99863,29.1,2007
28.85703,-81.81613,19.66,2001
29.10964,-82.19729,23.03,2018
29.06601,-82.12255,27.3,2010
29.47732,-82.04717,35.01,2021
29.08853,-82.21762,42.8,2000
29.02808,-82.6855,34.53,2003
29.32166,-82.00463,26.45,2002
29.62691,-81.93451,23.37,2005
29.00145,-81.97467,21.48,2020
29.69918,-82.32284,26.12,2017
29.1289,-81.80706,31.49,2003
29.17381,-81.83191,20.63,2004
29.17567,-81.81713,27.05,2020
29.09105,-81.93131,21.37,2008
29.49844,-82.25513,34.15,2008
29.31353,-81.90402,29.72,2004
29.11863,-82.16646,27.51,2013
28.98234,-82.14134,26.73,2022
29.39613,-82.18833,32.69,2004
29.00491,-82.10758,28.87,2011
29.46849,-82.25034,37.6,2006
28.91415,-82.1705,18.55,2011
29.2803,-82.42705,19.89,2004
29.34907,-81.94182,25.69,2005
29.53479,-82.10892,29.15,2010
29.18266,-82.02253,20.94,2021
29.42575,-82.30764,26.7,2003
29.52498,-82.09743,29.32,2015
29.26713,-81.73345,22.21,2007
29.24792,-82.01523,38.13,2012
29.04012,-81.74284,33.54,2020
29.17992,-82.33107,27.38,2017
29.18921,-82.02283,31.9,2018
29.11224,-81.92251,26.72,2003
29.07381,-82.15454,29.7,2016
29.02227,-81.7716,37.97,2006
29.20161,-81.77738,43.96,2017
