year,ndvi_jan_mar,ndvi_3yr_avg,ndvi_surprise,production_boxes,bearing_acres,apr_close,sep_close,price_direction,freeze_flag,freeze_days,min_temp_janmar_f,brazil_production_mt,fl_rainfall_jan_mar_inches,yield_yoy_pct,brazil_yoy_pct,fl_rainfall_below_avg,acres_norm,ndvi_x_acres
2005,0.5395,0.5478,-0.0083,149800000.0,541800.0,95.29,95.72,1.0,0,0,30.0,17993000.0,7.58,,,0,1.0,0.5395
2006,0.5253,0.5434,-0.0181,147700000.0,491000.0,144.84,174.78,1.0,1,1,28.9,18482000.0,4.48,-1.4,2.72,1,0.9062,0.476
2007,0.5258,0.5353,-0.0095,129000000.0,475900.0,171.73,125.06,-1.0,1,4,28.0,16850000.0,4.36,-12.66,-8.83,1,0.8784,0.4619
2008,0.5392,0.5302,0.009,170200000.0,463900.0,115.73,94.76,-1.0,1,1,27.0,17014000.0,7.76,31.94,0.97,0,0.8562,0.4617
2009,0.4904,0.5301,-0.0397,162500000.0,459100.0,80.55,93.61,1.0,1,5,23.0,15830000.0,3.08,-4.52,-6.96,1,0.8474,0.4156
2010,0.4838,0.5185,-0.0347,133700000.0,451000.0,132.96,150.29,1.0,1,9,23.0,22603000.0,13.26,-17.72,42.79,0,0.8324,0.4027
2011,0.4954,0.5045,-0.0091,140500000.0,440000.0,168.87,163.65,-1.0,1,2,28.9,20482000.0,10.25,5.09,-9.38,0,0.8121,0.4023
2012,0.5205,0.4899,0.0306,146700000.0,433400.0,149.18,126.17,-1.0,1,4,26.1,16361000.0,2.89,4.41,-20.12,1,0.7999,0.4163
2013,0.5389,0.4999,0.039,133600000.0,429200.0,143.9,131.68,-1.0,0,0,30.0,17870000.0,3.38,-8.93,9.22,1,0.7922,0.4269
2014,0.5494,0.5183,0.0311,104700000.0,418700.0,160.1,145.76,-1.0,1,1,28.9,16714000.0,8.82,-21.63,-6.47,0,0.7728,0.4246
2015,0.5596,0.5363,0.0233,96950000.0,405500.0,115.72,119.46,1.0,0,0,30.0,14414000.0,9.68,-7.4,-13.76,0,0.7484,0.4188
2016,0.5562,0.5493,0.0069,81700000.0,387000.0,134.94,198.53,1.0,0,0,33.1,20890000.0,12.14,-15.73,44.93,0,0.7143,0.3973
2017,0.5392,0.5551,-0.0159,68850000.0,367500.0,160.57,149.88,-1.0,0,0,33.1,15953000.0,3.38,-15.73,-23.63,1,0.6783,0.3657
2018,0.5332,0.5517,-0.0185,45050000.0,361800.0,143.36,151.97,1.0,1,4,26.1,19298000.0,5.0,-34.57,20.97,1,0.6678,0.3561
2019,0.5628,0.5429,0.0199,71850000.0,354100.0,108.44,100.63,-1.0,0,0,34.0,14870000.0,9.02,59.49,-22.95,0,0.6536,0.3678
2020,0.566,0.5451,0.0209,67400000.0,350900.0,110.01,114.44,1.0,0,0,30.9,14676000.0,3.39,-6.19,-1.3,1,0.6477,0.3666
2021,0.551,0.554,-0.003,52950000.0,342900.0,110.94,140.85,1.0,0,0,30.0,16932000.0,3.44,-21.44,15.37,1,0.6329,0.3487
2022,0.539,0.5599,-0.0209,41200000.0,317100.0,171.47,180.1,1.0,0,0,33.1,15469000.0,4.14,-22.19,-8.64,1,0.5853,0.3155
2023,0.5474,0.552,-0.0046,15820000.0,278300.0,276.3,340.67,1.0,0,0,36.0,12300000.0,2.02,-61.6,-20.49,1,0.5137,0.2812
2024,0.5496,0.5458,0.0038,18060000.0,231300.0,368.98,497.29,1.0,0,0,37.0,13000000.0,7.75,14.16,5.69,0,0.4269,0.2346
2025,0.5357,0.5453,-0.0096,12280000.0,167400.0,266.74,241.3,-1.0,0,0,34.0,13500000.0,5.69,-32.0,3.85,1,0.309,0.1655
2026,0.5019,0.5442,-0.0423,12200000.0,,179.26,,,1,2,24.1,,4.34,-0.65,,1,,
